家賃(万円),初期投資(取得費を家賃連動),12ヶ月目稼働率(ランプは目標と同じ形で比例),平均単価,清掃(円/回),12ヶ月累積営業損益,回収月,12ヶ月以内に回収
9,1228571,45%,2200,2000,386691,21,
9,1228571,45%,2300,1500,766083,16,
9,1228571,45%,2300,2000,522239,18,
9,1228571,45%,2400,1500,901631,14,
9,1228571,45%,2400,2000,657788,17,
9,1228571,45%,2500,1500,1037180,14,
9,1228571,45%,2500,2000,793336,15,
9,1228571,45%,2600,1500,1172728,13,
9,1228571,45%,2600,2000,928884,14,
9,1228571,45%,2700,1500,1308277,12,OK
9,1228571,45%,2700,2000,1064433,13,
9,1228571,45%,2800,1500,1443825,12,OK
9,1228571,45%,2800,2000,1199981,13,
9,1228571,45%,2900,1500,1579373,11,OK
9,1228571,45%,2900,2000,1335530,12,OK
9,1228571,45%,3000,1500,1714922,11,OK
9,1228571,45%,3000,2000,1471078,11,OK
9,1228571,45%,3100,1500,1850470,10,OK
9,1228571,45%,3100,2000,1606627,11,OK
9,1228571,50%,2200,1500,880594,15,
9,1228571,50%,2200,2000,609656,17,
9,1228571,50%,2300,1500,1031203,14,
9,1228571,50%,2300,2000,760266,16,
9,1228571,50%,2400,1500,1181812,13,
9,1228571,50%,2400,2000,910875,14,
9,1228571,50%,2500,1500,1332422,12,OK
9,1228571,50%,2500,2000,1061484,13,
9,1228571,50%,2600,1500,1483031,11,OK
9,1228571,50%,2600,2000,1212094,13,
9,1228571,50%,2700,1500,1633641,11,OK
9,1228571,50%,2700,2000,1362703,12,OK
9,1228571,50%,2800,1500,1784250,10,OK
9,1228571,50%,2800,2000,1513312,11,OK
9,1228571,50%,2900,1500,1934859,10,OK
9,1228571,50%,2900,2000,1663922,11,OK
9,1228571,50%,3000,1500,2085469,10,OK
9,1228571,50%,3000,2000,1814531,10,OK
9,1228571,50%,3100,1500,2236078,9,OK
9,1228571,50%,3100,2000,1965141,10,OK
